30/03/2020;Bretagne;53;10
30/03/2020;Centre-Val de Loire;24;13
30/03/2020;Corse;94;1
30/03/2020;Grand-Est;44;113
30/03/2020;Guadeloupe;1;4
30/03/2020;Guyane;3;0
30/03/2020;Hauts-de-France;32;63
30/03/2020;Ile-de-France;11;189
30/03/2020;La Réunion;4;1
30/03/2020;Martinique;2;0
30/03/2020;Mayotte;6;0
30/03/2020;Normandie;28;18
30/03/2020;Nouvelle-Aquitaine;75;25
30/03/2020;Occitanie;76;51
30/03/2020;Pays de la Loire;52;20
30/03/2020;Provence-Alpes-Côte d'Azur;93;50
31/03/2020;Auvergne-Rhône-Alpes;84;65
31/03/2020;Bourgogne-Franche-Comté;27;30
31/03/2020;Bretagne;53;12
31/03/2020;Centre-Val de Loire;24;19
31/03/2020;Corse;94;2
31/03/2020;Grand-Est;44;122
31/03/2020;Guadeloupe;1;2
31/03/2020;Guyane;3;0
31/03/2020;Hauts-de-France;32;67
31/03/2020;Ile-de-France;11;288
31/03/2020;La Réunion;4;2
31/03/2020;Martinique;2;3
31/03/2020;Mayotte;6;0
31/03/2020;Normandie;28;32
31/03/2020;Nouvelle-Aquitaine;75;32
31/03/2020;Occitanie;76;27
31/03/2020;Pays de la Loire;52;25
31/03/2020;Provence-Alpes-Côte d'Azur;93;39
01/04/2020;Auvergne-Rhône-Alpes;84;81
01/04/2020;Bourgogne-Franche-Comté;27;33
01/04/2020;Bretagne;53;17
01/04/2020;Centre-Val de Loire;24;24
01/04/2020;Corse;94;3
01/04/2020;Grand-Est;44;107
01/04/2020;Guadeloupe;1;2
01/04/2020;Guyane;3;0
01/04/2020;Hauts-de-France;32;48
01/04/2020;Ile-de-France;11;307
01/04/2020;La Réunion;4;0
01/04/2020;Martinique;2;1
01/04/2020;Mayotte;6;0
01/04/2020;Normandie;28;19
01/04/2020;Nouvelle-Aquitaine;75;23
01/04/2020;Occitanie;76;41
01/04/2020;Pays de la Loire;52;20
01/04/2020;Provence-Alpes-Côte d'Azur;93;45
02/04/2020;Auvergne-Rhône-Alpes;84;64
02/04/2020;Bourgogne-Franche-Comté;27;33
02/04/2020;Bretagne;53;18
02/04/2020;Centre-Val de Loire;24;22
02/04/2020;Corse;94;3
02/04/2020;Grand-Est;44;109
02/04/2020;Guadeloupe;1;4
02/04/2020;Guyane;3;0
02/04/2020;Hauts-de-France;32;65
02/04/2020;Ile-de-France;11;261
02/04/2020;La Réunion;4;1
02/04/2020;Martinique;2;1
02/04/2020;Mayotte;6;2
02/04/2020;Normandie;28;29
02/04/2020;Nouvelle-Aquitaine;75;19
02/04/2020;Occitanie;76;32
02/04/2020;Pays de la Loire;52;14
02/04/2020;Provence-Alpes-Côte d'Azur;93;51
03/04/2020;Auvergne-Rhône-Alpes;84;55
03/04/2020;Bourgogne-Franche-Comté;27;28
03/04/2020;Bretagne;53;8
03/04/2020;Centre-Val de Loire;24;24
03/04/2020;Corse;94;1
03/04/2020;Grand-Est;44;104
03/04/2020;Guadeloupe;1;1
03/04/2020;Guyane;3;1
03/04/2020;Hauts-de-France;32;55
03/04/2020;Ile-de-France;11;258
03/04/2020;La Réunion;4;0
03/04/2020;Martinique;2;0
03/04/2020;Mayotte;6;0
03/04/2020;Normandie;28;17
03/04/2020;Nouvelle-Aquitaine;75;12
03/04/2020;Occitanie;76;19
03/04/2020;Pays de la Loire;52;12
03/04/2020;Provence-Alpes-Côte d'Azur;93;45
04/04/2020;Auvergne-Rhône-Alpes;84;57
04/04/2020;Bourgogne-Franche-Comté;27;22
04/04/2020;Bretagne;53;7
04/04/2020;Centre-Val de Loire;24;16
04/04/2020;Corse;94;2
04/04/2020;Grand-Est;44;72
04/04/2020;Guadeloupe;1;2
04/04/2020;Guyane;3;0
04/04/2020;Hauts-de-France;32;44
04/04/2020;Ile-de-France;11;192
04/04/2020;La Réunion;4;2
04/04/2020;Martinique;2;2
04/04/2020;Mayotte;6;0
04/04/2020;Normandie;28;16
04/04/2020;Nouvelle-Aquitaine;75;11
04/04/2020;Occitanie;76;17
04/04/2020;Pays de la Loire;52;8
04/04/2020;Provence-Alpes-Côte d'Azur;93;32
05/04/2020;Auvergne-Rhône-Alpes;84;68
05/04/2020;Bourgogne-Franche-Comté;27;12
05/04/2020;Bretagne;53;6
05/04/2020;Centre-Val de Loire;24;6
05/04/2020;Corse;94;0
05/04/2020;Grand-Est;44;44
05/04/2020;Guadeloupe;1;2
05/04/2020;Guyane;3;0
05/04/2020;Hauts-de-France;32;31
05/04/2020;Ile-de-France;11;153
05/04/2020;La Réunion;4;0
05/04/2020;Martinique;2;2
05/04/2020;Mayotte;6;0
05/04/2020;Normandie;28;11
05/04/2020;Nouvelle-Aquitaine;75;7
05/04/2020;Occitanie;76;17
05/04/2020;Pays de la Loire;52;8
05/04/2020;Provence-Alpes-Côte d'Azur;93;23
06/04/2020;Auvergne-Rhône-Alpes;84;43
06/04/2020;Bourgogne-Franche-Comté;27;24
06/04/2020;Bretagne;53;4
06/04/2020;Centre-Val de Loire;24;19
06/04/2020;Corse;94;1
06/04/2020;Grand-Est;44;70
06/04/2020;Guadeloupe;1;0
06/04/2020;Guyane;3;0
06/04/2020;Hauts-de-France;32;29
06/04/2020;Ile-de-France;11;196
06/04/2020;La Réunion;4;0
06/04/2020;Martinique;2;0
06/04/2020;Mayotte;6;0
06/04/2020;Normandie;28;14
06/04/2020;Nouvelle-Aquitaine;75;11
06/04/2020;Occitanie;76;26
06/04/2020;Pays de la Loire;52;8
06/04/2020;Provence-Alpes-Côte d'Azur;93;33
07/04/2020;Auvergne-Rhône-Alpes;84;45
07/04/2020;Bourgogne-Franche-Comté;27;29
07/04/2020;Bretagne;53;4
07/04/2020;Centre-Val de Loire;24;8
07/04/2020;Corse;94;3
07/04/2020;Grand-Est;44;61
07/04/2020;Guadeloupe;1;0
07/04/2020;Guyane;3;0
07/04/2020;Hauts-de-France;32;47
07/04/2020;Ile-de-France;11;239
07/04/2020;La Réunion;4;0
07/04/2020;Martinique;2;0
07/04/2020;Mayotte;6;0
07/04/2020;Normandie;28;11
07/04/2020;Nouvelle-Aquitaine;75;14
07/04/2020;Occitanie;76;20
07/04/2020;Pays de la Loire;52;8
07/04/2020;Provence-Alpes-Côte d'Azur;93;29
08/04/2020;Auvergne-Rhône-Alpes;84;39
08/04/2020;Bourgogne-Franche-Comté;27;14
08/04/2020;Bretagne;53;7
08/04/2020;Centre-Val de Loire;24;19
08/04/2020;Corse;94;3
08/04/2020;Grand-Est;44;60
08/04/2020;Guadeloupe;1;1
08/04/2020;Guyane;3;0
08/04/2020;Hauts-de-France;32;30
08/04/2020;Ile-de-France;11;208
08/04/2020;La Réunion;4;0
08/04/2020;Martinique;2;1
08/04/2020;Mayotte;6;1
08/04/2020;Normandie;28;7
08/04/2020;Nouvelle-Aquitaine;75;18
08/04/2020;Occitanie;76;21
08/04/2020;Pays de la Loire;52;12
08/04/2020;Provence-Alpes-Côte d'Azur;93;41
09/04/2020;Auvergne-Rhône-Alpes;84;34
09/04/2020;Bourgogne-Franche-Comté;27;10
09/04/2020;Bretagne;53;3
09/04/2020;Centre-Val de Loire;24;13
09/04/2020;Corse;94;1
09/04/2020;Grand-Est;44;42
09/04/2020;Guadeloupe;1;2
